Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,4,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,5,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,6,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,7,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,8,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,9,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,10,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,1,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,2,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,3,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,4,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,5,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,6,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,7,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,8,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,9,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,10,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Average,0
Scenario1,1,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,2,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,3,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,4,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,5,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,6,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,7,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,8,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,9,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,10,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Maximum,0
Scenario1,1,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,2,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,3,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,4,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,5,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,6,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,7,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,8,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
Scenario1,9,Path,Path1,[Travelers],EntryQueue,TimeWaiting,Minimum,0
